,Postcode,Borough,Street,Latitude,Longitude
0,01-355,Bemowo,os. Przyjaźń,52.2374,20.9164
1,01-362,Bemowo,pl. Kasztelański,52.2317,20.9159
2,01-483,Bemowo,ul. A. B. Dobrowolskiego,52.2577,20.8922
3,01-464,Bemowo,ul. A. Bożka,52.2424,20.916
4,01-480,Bemowo,ul. A. Einsteina,52.2541,20.8921
5,01-473,Bemowo,ul. A. Kocjana,52.2508,20.8778
6,01-391,Bemowo,ul. A. Krzywoń,52.2279,20.9179
7,01-494,Bemowo,ul. A. Sołtana,52.2546,20.9331
8,01-318,Bemowo,ul. A. Świętochowskiego,52.2342,20.9011
9,01-497,Bemowo,ul. Afrodyty,52.2497,20.9097
10,01-491,Bemowo,ul. Akantu,52.2636,20.9054
11,01-493,Bemowo,ul. Andyjska,52.2529,20.9174
12,01-481,Bemowo,ul. Archimedesa,52.2553,20.8915
13,01-466,Bemowo,ul. Babimojska,52.2471,20.9185
14,01-305,Bemowo,ul. Batalionów Chłopskich,52.2306,20.8938
15,01-308,Bemowo,ul. Batalionów Chłopskich,52.2322,20.8935
16,01-307,Bemowo,ul. Batalionów Chłopskich,52.2304,20.8905
17,01-366,Bemowo,ul. Batalionu „Miotła”,52.2325,20.9202
18,01-487,Bemowo,ul. Bawełniana,52.2649,20.8993
19,01-461,Bemowo,ul. Bogatyńska,52.2433,20.9203
20,01-354,Bemowo,ul. Borowej Góry,52.2245,20.9171
21,01-384,Bemowo,ul. Brygadzistów,52.2242,20.9102
22,01-319,Bemowo,ul. Chrzanowska,52.2186,20.8988
23,01-472,Bemowo,ul. Cieplarniana,52.2509,20.8741
24,01-360,Bemowo,ul. Człuchowska,52.2288,20.9114
25,01-482,Bemowo,ul. D. Mendelejewa,52.257,20.8914
26,01-490,Bemowo,ul. Dostępna,52.2614,20.904
27,01-361,Bemowo,ul. Drogomilska,52.2313,20.9129
28,01-341,Bemowo,ul. Drzeworytników,52.2215,20.9038
29,01-385,Bemowo,ul. Drzeworytników,52.2258,20.906
30,01-470,Bemowo,ul. Dywizjonu 303,52.2461,20.9041
31,01-376,Bemowo,ul. Dźwigowa,52.218,20.9148
32,01-496,Bemowo,ul. F. Kawy,52.2625,20.9184
33,01-339,Bemowo,ul. Fortuny,52.2166,20.906
34,01-347,Bemowo,ul. Gabriela,52.2209,20.9105
35,01-478,Bemowo,ul. gen. F. Kleeberga,52.2637,20.9042
36,01-315,Bemowo,ul. gen. M. C. Coopera,52.2317,20.8977
37,01-476,Bemowo,ul. gen. S. Kaliskiego,52.2551,20.8968
38,01-471,Bemowo,ul. gen. T. Pełczyńskiego,52.2422,20.9015
39,01-364,Bemowo,ul. Gimnazjalna,52.2316,20.9166
40,01-485,Bemowo,ul. Gołuchowska,52.2542,20.907
41,01-460,Bemowo,ul. Górczewska,52.2406,20.9117
42,01-459,Bemowo,ul. Górczewska,52.2394,20.9129
43,01-488,Bemowo,ul. Grotowska,52.2653,20.8987
44,02-422,Bemowo,ul. J. I. Kraszewskiego,52.2108,20.8976
45,01-368,Bemowo,ul. J. Joyce'a,52.2317,20.9213
46,01-345,Bemowo,ul. J. Wybickiego,52.22,20.9063
47,01-373,Bemowo,ul. Jana Olbrachta,52.2344,20.9197
48,01-317,Bemowo,ul. K. Irzykowskiego,52.231,20.9058
49,01-313,Bemowo,ul. Karabeli,52.2298,20.9008
50,01-462,Bemowo,ul. Kołczana,52.244,20.9225
51,01-321,Bemowo,ul. Kopalniana,52.2201,20.8941
52,01-365,Bemowo,ul. Kruszyńska,52.2318,20.9182
53,01-356,Bemowo,ul. Kryształowa,52.2314,20.9086
54,01-452,Bemowo,ul. Księcia Bolesława,52.2429,20.9409
55,01-934,Bemowo,ul. Księżycowa,52.2823,20.8981
56,01-314,Bemowo,ul. Lazurowa,52.2286,20.8962
57,01-479,Bemowo,ul. Lazurowa,52.2398,20.8962
58,01-474,Bemowo,ul. Lazurowa,52.2427,20.8973
59,01-343,Bemowo,ul. Legionowa,52.2186,20.9053
60,01-342,Bemowo,ul. Lustrzana,52.2206,20.9043
61,01-329,Bemowo,ul. Łęgi,52.214,20.887
62,01-492,Bemowo,ul. M. Sobczaka,52.2628,20.9022
63,01-469,Bemowo,ul. Marynin,52.2457,20.9241
64,01-352,Bemowo,ul. Miejska,52.2235,20.9084
65,01-390,Bemowo,ul. mjr. H. Sucharskiego,52.2271,20.911
66,01-330,Bemowo,ul. Mory,52.2124,20.8741
67,01-357,Bemowo,ul. Muszlowa,52.2309,20.9108
68,01-328,Bemowo,ul. Na Wyraju,52.2217,20.8802
69,01-338,Bemowo,ul. Nowej Huty,52.2164,20.9026
70,01-359,Bemowo,ul. Okoliczna,52.2297,20.9124
71,01-309,Bemowo,ul. Okrętowa,52.2233,20.9035
72,01-475,Bemowo,ul. Oryszewska,52.2494,20.8779
73,01-351,Bemowo,ul. Owczarska,52.2236,20.9104
74,01-498,Bemowo,ul. P. Stellera,52.2637,20.9133
75,01-327,Bemowo,ul. Podgrodzie,52.2201,20.882
76,01-378,Bemowo,ul. Połczyńska,52.2226,20.9231
77,01-302,Bemowo,ul. Połczyńska,52.2169,20.8958
78,01-303,Bemowo,ul. Połczyńska,52.2158,20.8865
79,01-304,Bemowo,ul. Połczyńska,52.2171,20.884
80,01-377,Bemowo,ul. Połczyńska,52.2201,20.919
81,01-337,Bemowo,ul. Połczyńska,52.2183,20.907
82,01-336,Bemowo,ul. Połczyńska,52.2177,20.9077
83,01-301,Bemowo,ul. Połczyńska,52.2222,20.9047
84,01-728,Bemowo,ul. Powązkowska,52.262,20.9499
85,01-381,Bemowo,ul. Powstańców Śląskich,52.2295,20.9163
86,03-381,Bemowo,ul. Powstańców Śląskich,52.2797,21.0065
87,01-386,Bemowo,ul. Reżyserska,52.2272,20.9073
88,01-388,Bemowo,ul. Rodzinna,52.2269,20.9074
89,01-340,Bemowo,ul. Rotundy,52.2176,20.9095
90,01-310,Bemowo,ul. Rozłogi,52.2243,20.9004
91,01-312,Bemowo,ul. Siemiatycka,52.2261,20.9034
92,01-353,Bemowo,ul. Słomiana,52.2241,20.9084
93,01-350,Bemowo,ul. Sternicza,52.2215,20.9073
94,01-383,Bemowo,ul. Sternicza,52.2233,20.9146
95,01-367,Bemowo,ul. Strąkowa,52.232,20.9188
96,01-348,Bemowo,ul. Strzelców,52.2207,20.9112
97,01-382,Bemowo,ul. Szczotkarska,52.2222,20.9138
98,01-349,Bemowo,ul. Szczotkarska,52.223,20.9166
99,01-320,Bemowo,ul. Szeligowska,52.2261,20.8874
100,01-389,Bemowo,ul. Świetlików,52.2277,20.9109
101,01-486,Bemowo,ul. Telefoniczna,52.2645,20.8998
102,01-346,Bemowo,ul. Tkaczy,52.2212,20.908
103,01-468,Bemowo,ul. Wieśniacza,52.2456,20.9191
104,01-418,Bemowo,ul. Wrocławska,52.2473,20.9412
105,01-495,Bemowo,ul. Zachodzącego Słońca,52.2573,20.9142
106,03-144,Białołęka,pl. Światowida,52.3285,20.9459
107,03-173,Białołęka,ul. 15 Sierpnia,52.3261,20.9855
108,03-134,Białołęka,ul. A. Ciołkosza,52.3285,20.9465
109,03-176,Białołęka,ul. A. Fleminga,52.3202,20.9777
110,03-130,Białołęka,ul. A. Kamińskiego,52.3227,20.9603
111,03-193,Białołęka,ul. A. Kowalczyka,52.3064,20.9931
112,03-289,Białołęka,ul. A. Vivaldiego,52.33,21.0508
113,03-149,Białołęka,ul. Aluzyjna,52.3463,20.9438
114,03-013,Białołęka,ul. Ambaras,52.3418,20.9995
115,03-106,Białołęka,ul. Anecińska,52.3289,20.9633
116,03-153,Białołęka,ul. Animuszu,52.3465,20.9551
117,03-236,Białołęka,ul. Annopol,52.3079,21.0169
118,03-009,Białołęka,ul. Arkony,52.3479,20.9971
119,03-276,Białołęka,ul. Artyleryjska,52.3006,21.0335
120,03-126,Białołęka,ul. Atutowa,52.3181,20.9598
121,03-253,Białołęka,ul. Białołęcka,52.3187,21.0311
122,03-251,Białołęka,ul. Białołęcka,52.2994,21.0284
