,Postcode,Borough,Postcode Latitude,Postcode Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,01-355,Bemowo,52.2374,20.9164,Kolorado,52.236842014054844,20.917444398073393,Playground
1,01-355,Bemowo,52.2374,20.9164,Травка возле общаги,52.23803197832388,20.916197323010824,Park
2,01-362,Bemowo,52.2317,20.9159,Motylem Jestem,52.2325682976798,20.914432738332227,Spa
3,01-483,Bemowo,52.2577,20.8922,Poligon Wat,52.25667975407375,20.89097125356367,Playground
4,01-391,Bemowo,52.2279,20.9179,Beerhub,52.22808667347807,20.915867274916643,Beer Bar
5,01-494,Bemowo,52.2546,20.9331,Sklep Krzyś (Piekarnia Szwajcarska),52.25483400396912,20.932927876607742,Deli / Bodega
6,01-494,Bemowo,52.2546,20.9331,Przystanek Os. Lesne,52.25466210965002,20.931551625236153,Bus Station
7,01-494,Bemowo,52.2546,20.9331,Sklep Spożywczy Leon,52.25496399417636,20.93257110795445,Deli / Bodega
8,01-494,Bemowo,52.2546,20.9331,Delikatesy Hipcia,52.25521958437578,20.932935338652808,Convenience Store
9,01-494,Bemowo,52.2546,20.9331,Park Leśnego Osiedla,52.254011413204005,20.93292288266402,Park
10,01-493,Bemowo,52.2529,20.9174,Dobra Buła,52.252926,20.91644,Burger Joint
11,01-466,Bemowo,52.2471,20.9185,Biedronka,52.247994,20.916974,Grocery Store
12,01-305,Bemowo,52.2306,20.8938,Stolica Lodów,52.23159,20.894556,Ice Cream Shop
13,01-308,Bemowo,52.2322,20.8935,Stolica Lodów,52.23159,20.894556,Ice Cream Shop
14,01-307,Bemowo,52.2304,20.8905,skup aut Auto-Mix,52.230500271266074,20.891253966270483,Auto Dealership
15,01-487,Bemowo,52.2649,20.8993,Boernerowo 01,52.26395513294461,20.90024471282959,Light Rail Station
16,01-354,Bemowo,52.2245,20.9171,Biedronka,52.2248641902655,20.915886138669226,Market
17,01-354,Bemowo,52.2245,20.9171,Sfinx,52.22561562319825,20.91621385099539,Diner
18,01-354,Bemowo,52.2245,20.9171,Synów Pułku,52.225334808290036,20.916311141879007,Bus Station
19,01-319,Bemowo,52.2186,20.8988,Alejki Osiedlowe,52.2187033024254,20.899858474731445,Dog Run
20,01-472,Bemowo,52.2509,20.8741,Przystanek Spychowska,52.250843,20.875408,Bus Station
21,01-360,Bemowo,52.2288,20.9114,Biedronka,52.22841147131542,20.91079370189394,Supermarket
22,01-482,Bemowo,52.257,20.8914,Poligon Wat,52.25667975407375,20.89097125356367,Playground
23,01-490,Bemowo,52.2614,20.904,Sala WNBA,52.261311996160295,20.90249910475555,Basketball Court
24,01-470,Bemowo,52.2461,20.9041,Zdrofit Bemowo,52.245641222846984,20.906136121137468,Gym / Fitness Center
25,01-496,Bemowo,52.2625,20.9184,Siłownia plenerowa przy Korfantego,52.261401187076075,20.919088652471025,Athletics & Sports
26,01-496,Bemowo,52.2625,20.9184,Przystanek Rodła,52.262612610035404,20.918526843243438,Bus Stop
27,01-315,Bemowo,52.2317,20.8977,Batalionów Chłopskich,52.231861525782335,20.896699147446764,Bus Station
28,01-315,Bemowo,52.2317,20.8977,Kaufland,52.230993379660596,20.895825627858176,Market
29,01-315,Bemowo,52.2317,20.8977,Dobra Buła,52.231388,20.897396,Burger Joint
30,01-476,Bemowo,52.2551,20.8968,Archimedesa 01,52.255674263662854,20.89801408783009,Bus Station
31,01-476,Bemowo,52.2551,20.8968,Klub WAT,52.255042508507934,20.89541637428897,College Cafeteria
32,01-471,Bemowo,52.2422,20.9015,Lewiatan Pełczyńskiego,52.242794,20.899578,Food & Drink Shop
33,01-471,Bemowo,52.2422,20.9015,La Pancia Piena,52.2423088930789,20.89942036014774,Pizza Place
34,01-471,Bemowo,52.2422,20.9015,Piekarnia Putka,52.242496,20.89949,Bakery
35,01-471,Bemowo,52.2422,20.9015,ciuciubabka,52.243241583256115,20.901115958461613,Café
36,01-471,Bemowo,52.2422,20.9015,Delikatesy Rasta,52.24231327388524,20.901085830436834,Grocery Store
37,01-485,Bemowo,52.2542,20.907,Radiowa WAT,52.25514978045438,20.905782447281197,Bus Station
38,01-460,Bemowo,52.2406,20.9117,La Fiaccola,52.240811010736664,20.912208240228225,Italian Restaurant
39,01-460,Bemowo,52.2406,20.9117,Sensi Sushi,52.24030000000002,20.91177781349188,Japanese Restaurant
40,01-459,Bemowo,52.2394,20.9129,Lidl,52.239941953038254,20.913861413368174,Food & Drink Shop
41,01-459,Bemowo,52.2394,20.9129,OneWay Health Club,52.23862180420954,20.91468930268242,Gym
42,01-459,Bemowo,52.2394,20.9129,Sensi Sushi,52.24030000000002,20.91177781349188,Japanese Restaurant
43,01-459,Bemowo,52.2394,20.9129,Bemowo Ratusz,52.23916664023882,20.913604535360502,City Hall
44,01-313,Bemowo,52.2298,20.9008,Biedronka,52.229778034458995,20.901743508929258,Discount Store
45,01-313,Bemowo,52.2298,20.9008,Bar Leniwiec,52.229863594809885,20.90236482509951,Eastern European Restaurant
46,01-321,Bemowo,52.2201,20.8941,Lidl,52.21996385670894,20.89531768215393,Supermarket
47,01-356,Bemowo,52.2314,20.9086,Atlas Arena,52.2326801702406,20.90820866441107,Concert Hall
48,01-934,Bemowo,52.2823,20.8981,Stajnia Duchnice,52.281851027332024,20.89952832083251,Stables
49,01-314,Bemowo,52.2286,20.8962,Rossmann,52.229455,20.895809,Drugstore
50,01-479,Bemowo,52.2398,20.8962,McDonald's,52.2391605427237,20.8979469682815,Fast Food Restaurant
51,01-479,Bemowo,52.2398,20.8962,Mc Cafe,52.2392875907046,20.898000356914235,Coffee Shop
52,01-479,Bemowo,52.2398,20.8962,Welcome India,52.240075,20.894082,Indian Restaurant
53,01-390,Bemowo,52.2271,20.911,Biedronka,52.22841147131542,20.91079370189394,Supermarket
54,01-390,Bemowo,52.2271,20.911,Siłownia S4 Bemowo,52.227042774238875,20.910359744751716,Gym
55,01-390,Bemowo,52.2271,20.911,Fitness Club S4,52.22719239116784,20.910634614839303,Gym / Fitness Center
56,01-338,Bemowo,52.2164,20.9026,Jeziorko na Tkaczy,52.21646385455374,20.902400327804745,Lake
57,01-338,Bemowo,52.2164,20.9026,Warszawa Główna Towarowa,52.215817395910136,20.903344807759048,Train Station
58,01-475,Bemowo,52.2494,20.8779,Przystanek Groty,52.24842185153069,20.878867581303787,Bus Station
59,01-498,Bemowo,52.2637,20.9133,Hostel Kingroom,52.26435470581055,20.912431716918945,Hostel
60,01-498,Bemowo,52.2637,20.9133,Place4Us,52.26390467391905,20.915367352303328,Hotel
61,01-302,Bemowo,52.2169,20.8958,Biedronka,52.217063,20.893697,Discount Store
62,01-303,Bemowo,52.2158,20.8865,Wrotkarnia,52.21590328711675,20.885631163383938,Roller Rink
63,01-303,Bemowo,52.2158,20.8865,ElektroMag,52.2161750793457,20.88542366027832,Furniture / Home Store
64,01-304,Bemowo,52.2171,20.884,Japońskie Ogrody Bonsai,52.217438,20.884204,Flower Shop
65,01-304,Bemowo,52.2171,20.884,ElektroMag,52.2161750793457,20.88542366027832,Furniture / Home Store
66,01-377,Bemowo,52.2201,20.919,Przystanek Ciepłownia Wola,52.22060828346948,20.917916420925057,Bus Station
67,01-337,Bemowo,52.2183,20.907,Wald SPA & Wellness,52.21847642500959,20.907756260191643,Hotel
